codeTs,snum,textName,requireCheck,decFacCode,decFacName,decFacType,decFacContent,ieFlag,gname,extendFiled
43013,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
43013,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
43013,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
43013,3,状态（生毛皮）,1,null,null,null,null,null,null,null
43013,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
43013,5,GTIN,0,null,null,null,null,null,null,null
43013,6,CAS,0,null,null,null,null,null,null,null
43013,7,其他,0,,,,,,,
43016,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
43016,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
43016,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
43016,3,状态（生毛皮）,1,null,null,null,null,null,null,null
43016,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
43016,5,品种(蓝狐、蓝霜狐皮等）,1,null,null,null,null,null,null,null
43016,6,尺寸（50号、40号等）,1,null,null,null,null,null,null,null
43016,7,颜色（深、浅）,1,null,null,null,null,null,null,null
43016,8,质量（世家皇冠、世家级）,1,null,null,null,null,null,null,null
43016,9,是否来自拍卖会及拍卖会日期,1,null,null,null,null,null,null,null
43016,10,GTIN,0,null,null,null,null,null,null,null
43016,11,CAS,0,null,null,null,null,null,null,null
43016,12,其他,0,,,,,,,
4301801,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4301801,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4301801,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
4301801,3,状态（生毛皮）,1,null,null,null,null,null,null,null
4301801,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
4301801,5,颜色（白色、黑色等）,1,null,null,null,null,null,null,null
4301801,6,GTIN,0,null,null,null,null,null,null,null
4301801,7,CAS,0,null,null,null,null,null,null,null
4301801,8,其他,0,,,,,,,
4301809,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4301809,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4301809,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
4301809,3,状态（生毛皮）,1,null,null,null,null,null,null,null
4301809,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
4301809,5,GTIN,0,null,null,null,null,null,null,null
4301809,6,CAS,0,null,null,null,null,null,null,null
4301809,7,其他,0,,,,,,,
43019,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
43019,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
43019,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
43019,3,状态（生毛皮）,1,null,null,null,null,null,null,null
43019,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
43019,5,GTIN,0,null,null,null,null,null,null,null
43019,6,CAS,0,null,null,null,null,null,null,null
43019,7,其他,0,,,,,,,
43019,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
43019,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
43019,2,种类（中国羔羊、波斯羔羊、狐皮、兔皮等）,1,null,null,null,null,null,null,null
43019,3,状态（生毛皮）,1,null,null,null,null,null,null,null
43019,4,外观（整张、头、尾、爪等）,1,null,null,null,null,null,null,null
43019,5,GTIN,0,null,null,null,null,null,null,null
43019,6,CAS,0,null,null,null,null,null,null,null
43019,7,其他,0,,,,,,,
430211,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
