codeTs,snum,textName,requireCheck,decFacCode,decFacName,decFacType,decFacContent,ieFlag,gname,extendFiled
410792,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
410792,2,制作或保存方法(表面是否涂覆、涂覆何种物质),1,null,null,null,null,null,null,null
410792,3,种类(牛、马),1,null,null,null,null,null,null,null
410792,4,状态(半张，无毛全粒面未剖层或无毛粒面剖层、二层牛,1,null,null,null,null,null,null,null
410792,5,规格(厚度、平均面积）,1,null,null,null,null,null,null,null
410792,6,颜色,1,null,null,null,null,null,null,null
410792,7,用途（鞋面、箱包、鞋底、家具、汽车座椅、皮带等）,1,null,null,null,null,null,null,null
410792,8,GTIN,0,null,null,null,null,null,null,null
410792,9,CAS,0,null,null,null,null,null,null,null
410792,10,其他,0,,,,,,,
4107991,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4107991,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4107991,2,制作或保存方法(表面是否涂覆、涂覆何种物质),1,null,null,null,null,null,null,null
4107991,3,种类(牛、马),1,null,null,null,null,null,null,null
4107991,4,状态(半张，无毛全粒面未剖层或无毛粒面剖层、二层牛,1,null,null,null,null,null,null,null
4107991,5,用途(机器带用),1,null,null,null,null,null,null,null
4107991,6,规格(厚度、平均面积）,1,null,null,null,null,null,null,null
4107991,7,颜色,1,null,null,null,null,null,null,null
4107991,8,GTIN,0,null,null,null,null,null,null,null
4107991,9,CAS,0,null,null,null,null,null,null,null
4107991,10,其他,0,,,,,,,
4107999,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
4107999,1,出口享惠情况,1,0|1|2|3,出口享惠情况,1,出口货物在最终目的国(地区)不享受优惠关税|出口货物在最终目的国(地区)享受优惠关税|不能确定在最终目的国(地区)享受优惠关税|不适用于进口报关单,E,null,3
4107999,2,制作或保存方法(表面是否涂覆、涂覆何种物质),1,null,null,null,null,null,null,null
4107999,3,种类(牛、马),1,null,null,null,null,null,null,null
4107999,4,状态(半张，无毛全粒面未剖层或无毛粒面剖层、二层牛,1,null,null,null,null,null,null,null
4107999,5,规格(厚度、平均面积）,1,null,null,null,null,null,null,null
4107999,6,颜色,1,null,null,null,null,null,null,null
4107999,7,用途（鞋面、箱包、鞋底、家具、汽车座椅、皮带等）,1,null,null,null,null,null,null,null
4107999,8,GTIN,0,null,null,null,null,null,null,null
4107999,9,CAS,0,null,null,null,null,null,null,null
4107999,10,其他,0,,,,,,,
4112,0,品牌类型,1,0|1|2|3|4,品牌类型,1,无品牌|境内自主品牌|境内收购品牌|境外品牌(贴牌生产)|境外品牌(其它),null,null,null
