type,codeValue,codeName,cusCode,gbCode,gbName,ciqCode
CUS_MAPPING_PORT_CODE_V,THA003,曼谷（泰国）,1497,THA003,曼谷（泰国）,764003
CUS_MAPPING_PORT_CODE_V,THA005,林查班（泰国）,136,THA005,林查班（泰国）,764005
CUS_MAPPING_PORT_CODE_V,THA006,干当（泰国）,136,THA006,干当（泰国）,764006
CUS_MAPPING_PORT_CODE_V,THA009,锡昌岛（泰国）,136,THA009,锡昌岛（泰国）,764009
CUS_MAPPING_PORT_CODE_V,THA012,那拉提瓦（泰国）,136,THA012,那拉提瓦（泰国）,764012
CUS_MAPPING_PORT_CODE_V,THA015,北榄（泰国）,136,THA015,北榄（泰国）,764015
CUS_MAPPING_PORT_CODE_V,THA018,北大年（泰国）,1498,THA018,北大年（泰国）,764018
CUS_MAPPING_PORT_CODE_V,THA021,普吉（泰国）,1499,THA021,普吉（泰国）,764021
CUS_MAPPING_PORT_CODE_V,THA024,棱桃邑（泰国）,1500,THA024,棱桃邑（泰国）,764024
CUS_MAPPING_PORT_CODE_V,THA027,是拉差（泰国）,1501,THA027,是拉差（泰国）,764027
CUS_MAPPING_PORT_CODE_V,THA030,宋卡（泰国）,1502,THA030,宋卡（泰国）,764030
CUS_MAPPING_PORT_CODE_V,THA033,斯瑞拉察（泰国）,136,THA033,斯瑞拉察（泰国）,764033
CUS_MAPPING_PORT_CODE_V,THA036,AYUTTHSYA（泰国）,1496,THA036,AYUTTHSYA（泰国）,764036
CUS_MAPPING_PORT_CODE_V,TJK000,塔吉克斯坦,147,TJK000,塔吉克斯坦,762000
CUS_MAPPING_PORT_CODE_V,TJK901,卡拉苏（塔吉克斯坦）,147,TJK901,卡拉苏（塔吉克斯坦）,762901
CUS_MAPPING_PORT_CODE_V,TKL000,托克劳,699,TKL000,托克劳,772000
CUS_MAPPING_PORT_CODE_V,TKL003,阿塔富（托克劳）,699,TKL003,阿塔富（托克劳）,772003
CUS_MAPPING_PORT_CODE_V,TKL004,托克劳群岛（托克劳）,3407,TKL004,托克劳群岛（托克劳）,772004
CUS_MAPPING_PORT_CODE_V,TKM000,土库曼斯坦,148,TKM000,土库曼斯坦,795000
CUS_MAPPING_PORT_CODE_V,TLS000,东帝汶,144,TLS000,东帝汶,626000
CUS_MAPPING_PORT_CODE_V,TLS003,帝力（东帝汶）,144,TLS003,帝力（东帝汶）,626003
CUS_MAPPING_PORT_CODE_V,TON000,汤加,614,TON000,汤加,776000
CUS_MAPPING_PORT_CODE_V,TON003,内亚富（汤加）,3341,TON003,内亚富（汤加）,776003
CUS_MAPPING_PORT_CODE_V,TON006,诺穆卡岛（汤加）,3344,TON006,诺穆卡岛（汤加）,776006
CUS_MAPPING_PORT_CODE_V,TON009,努库阿洛法（汤加）,3342,TON009,努库阿洛法（汤加）,776009
CUS_MAPPING_PORT_CODE_V,TON012,庞艾（汤加）,3343,TON012,庞艾（汤加）,776012
CUS_MAPPING_PORT_CODE_V,TON015,瓦瓦乌岛（汤加）,3345,TON015,瓦瓦乌岛（汤加）,776015
CUS_MAPPING_PORT_CODE_V,TTO000,特立尼达和多巴哥,442,TTO000,特立尼达和多巴哥,780000
CUS_MAPPING_PORT_CODE_V,TTO003,布赖顿（特立尼达和多巴哥）,2951,TTO003,布赖顿（特立尼达和多巴哥）,780003
CUS_MAPPING_PORT_CODE_V,TTO006,查瓜拉马斯（特立尼达和多巴哥）,2948,TTO006,查瓜拉马斯（特立尼达和多巴哥）,780006
CUS_MAPPING_PORT_CODE_V,TTO009,加莱奥塔角（特立尼达和多巴哥）,442,TTO009,加莱奥塔角（特立尼达和多巴哥）,780009
CUS_MAPPING_PORT_CODE_V,TTO012,普利茅斯（特立尼达和多巴哥）,442,TTO012,普利茅斯（特立尼达和多巴哥）,780012
CUS_MAPPING_PORT_CODE_V,TTO015,福廷角（特立尼达和多巴哥）,2946,TTO015,福廷角（特立尼达和多巴哥）,780015
CUS_MAPPING_PORT_CODE_V,TTO018,利萨斯角（特立尼达和多巴哥）,442,TTO018,利萨斯角（特立尼达和多巴哥）,780018
CUS_MAPPING_PORT_CODE_V,TTO021,皮埃尔角城（特立尼达和多巴哥）,2947,TTO021,皮埃尔角城（特立尼达和多巴哥）,780021
CUS_MAPPING_PORT_CODE_V,TTO024,西班牙港（特立尼达和多巴哥）,2949,TTO024,西班牙港（特立尼达和多巴哥）,780024
CUS_MAPPING_PORT_CODE_V,TTO027,圣费尔南多（特立尼达和多巴哥）,2945,TTO027,圣费尔南多（特立尼达和多巴哥）,780027
CUS_MAPPING_PORT_CODE_V,TTO030,斯卡伯勒（特立尼达和多巴哥）,2950,TTO030,斯卡伯勒（特立尼达和多巴哥）,780030
CUS_MAPPING_PORT_CODE_V,TTO033,滕布拉多腊（特立尼达和多巴哥）,2952,TTO033,滕布拉多腊（特立尼达和多巴哥）,780033
CUS_MAPPING_PORT_CODE_V,TUN000,突尼斯,249,TUN000,突尼斯,788000
CUS_MAPPING_PORT_CODE_V,TUN003,阿什塔特码头（突尼斯）,249,TUN003,阿什塔特码头（突尼斯）,788003
CUS_MAPPING_PORT_CODE_V,TUN006,比塞大（突尼斯）,1774,TUN006,比塞大（突尼斯）,788006
CUS_MAPPING_PORT_CODE_V,TUN009,杰尔巴岛（突尼斯）,249,TUN009,杰尔巴岛（突尼斯）,788009
CUS_MAPPING_PORT_CODE_V,TUN012,加贝斯（突尼斯）,1775,TUN012,加贝斯（突尼斯）,788012
CUS_MAPPING_PORT_CODE_V,TUN015,拉古莱特（突尼斯）,1776,TUN015,拉古莱特（突尼斯）,788015
CUS_MAPPING_PORT_CODE_V,TUN018,拉斯基拉（突尼斯）,1777,TUN018,拉斯基拉（突尼斯）,788018
CUS_MAPPING_PORT_CODE_V,TUN021,斯法克斯（突尼斯）,1778,TUN021,斯法克斯（突尼斯）,788021
CUS_MAPPING_PORT_CODE_V,TUN024,苏塞（突尼斯）,1779,TUN024,苏塞（突尼斯）,788024
CUS_MAPPING_PORT_CODE_V,TUN027,突尼斯（突尼斯）,1781,TUN027,突尼斯（突尼斯）,788027
CUS_MAPPING_PORT_CODE_V,TUR000,土耳其,137,TUR000,土耳其,792000
CUS_MAPPING_PORT_CODE_V,TUR003,阿拉尼亚（土耳其）,137,TUR003,阿拉尼亚（土耳其）,792003
CUS_MAPPING_PORT_CODE_V,TUR006,阿利亚加（土耳其）,137,TUR006,阿利亚加（土耳其）,792006
CUS_MAPPING_PORT_CODE_V,TUR009,阿马斯腊（土耳其）,1505,TUR009,阿马斯腊（土耳其）,792009
CUS_MAPPING_PORT_CODE_V,TUR012,安塔利亚（土耳其）,1506,TUR012,安塔利亚（土耳其）,792012
CUS_MAPPING_PORT_CODE_V,TUR015,艾瓦勒克（土耳其）,137,TUR015,艾瓦勒克（土耳其）,792015
CUS_MAPPING_PORT_CODE_V,TUR018,班德尔马（土耳其）,1507,TUR018,班德尔马（土耳其）,792018
CUS_MAPPING_PORT_CODE_V,TUR021,恰纳卡莱（土耳其）,137,TUR021,恰纳卡莱（土耳其）,792021
CUS_MAPPING_PORT_CODE_V,TUR024,吉代（土耳其）,137,TUR024,吉代（土耳其）,792024
CUS_MAPPING_PORT_CODE_V,TUR027,代林杰（土耳其）,1509,TUR027,代林杰（土耳其）,792027
CUS_MAPPING_PORT_CODE_V,TUR030,迪基利（土耳其）,137,TUR030,迪基利（土耳其）,792030
CUS_MAPPING_PORT_CODE_V,TUR033,德尔特约尔（土耳其）,137,TUR033,德尔特约尔（土耳其）,792033
CUS_MAPPING_PORT_CODE_V,TUR036,埃丁吉克（土耳其）,137,TUR036,埃丁吉克（土耳其）,792036
CUS_MAPPING_PORT_CODE_V,TUR039,埃雷利（土耳其）,1510,TUR039,埃雷利（土耳其）,792039
CUS_MAPPING_PORT_CODE_V,TUR042,法特萨（土耳其）,1511,TUR042,法特萨（土耳其）,792042
CUS_MAPPING_PORT_CODE_V,TUR045,费特希耶（土耳其）,137,TUR045,费特希耶（土耳其）,792045
CUS_MAPPING_PORT_CODE_V,TUR048,菲尼凯（土耳其）,137,TUR048,菲尼凯（土耳其）,792048
CUS_MAPPING_PORT_CODE_V,TUR051,盖利博卢（土耳其）,137,TUR051,盖利博卢（土耳其）,792051
CUS_MAPPING_PORT_CODE_V,TUR054,盖姆利克（土耳其）,1513,TUR054,盖姆利克（土耳其）,792054
CUS_MAPPING_PORT_CODE_V,TUR057,吉雷松（土耳其）,1512,TUR057,吉雷松（土耳其）,792057
CUS_MAPPING_PORT_CODE_V,TUR060,戈西克（土耳其）,137,TUR060,戈西克（土耳其）,792060
CUS_MAPPING_PORT_CODE_V,TUR063,格尔居克（土耳其）,137,TUR063,格尔居克（土耳其）,792063
CUS_MAPPING_PORT_CODE_V,TUR066,格雷莱（土耳其）,137,TUR066,格雷莱（土耳其）,792066
CUS_MAPPING_PORT_CODE_V,TUR069,居吕克（土耳其）,137,TUR069,居吕克（土耳其）,792069
CUS_MAPPING_PORT_CODE_V,TUR072,海达尔帕夏（土耳其）,1514,TUR072,海达尔帕夏（土耳其）,792072
CUS_MAPPING_PORT_CODE_V,TUR075,海雷凯（土耳其）,137,TUR075,海雷凯（土耳其）,792075
CUS_MAPPING_PORT_CODE_V,TUR078,霍帕（土耳其）,1515,TUR078,霍帕（土耳其）,792078
CUS_MAPPING_PORT_CODE_V,TUR081,伊内博卢（土耳其）,1516,TUR081,伊内博卢（土耳其）,792081
CUS_MAPPING_PORT_CODE_V,TUR084,伊斯肯德伦（土耳其）,1517,TUR084,伊斯肯德伦（土耳其）,792084
CUS_MAPPING_PORT_CODE_V,TUR087,伊斯坦布尔（土耳其）,1518,TUR087,伊斯坦布尔（土耳其）,792087
CUS_MAPPING_PORT_CODE_V,TUR090,伊兹密尔（土耳其）,1519,TUR090,伊兹密尔（土耳其）,792090
CUS_MAPPING_PORT_CODE_V,TUR093,伊兹米特（土耳其）,137,TUR093,伊兹米特（土耳其）,792093
CUS_MAPPING_PORT_CODE_V,TUR096,库沙达瑟（土耳其）,137,TUR096,库沙达瑟（土耳其）,792096
CUS_MAPPING_PORT_CODE_V,TUR099,马尔马里斯（土耳其）,1522,TUR099,马尔马里斯（土耳其）,792099
CUS_MAPPING_PORT_CODE_V,TUR102,梅尔辛（土耳其）,1523,TUR102,梅尔辛（土耳其）,792102
CUS_MAPPING_PORT_CODE_V,TUR105,穆达尼亚（土耳其）,1524,TUR105,穆达尼亚（土耳其）,792105
CUS_MAPPING_PORT_CODE_V,TUR108,奥尔杜（土耳其）,1525,TUR108,奥尔杜（土耳其）,792108
CUS_MAPPING_PORT_CODE_V,TUR111,里泽（土耳其）,1526,TUR111,里泽（土耳其）,792111
CUS_MAPPING_PORT_CODE_V,TUR114,萨姆松（土耳其）,1527,TUR114,萨姆松（土耳其）,792114
CUS_MAPPING_PORT_CODE_V,TUR117,锡诺普（土耳其）,1528,TUR117,锡诺普（土耳其）,792117
CUS_MAPPING_PORT_CODE_V,TUR120,塔舒朱（土耳其）,137,TUR120,塔舒朱（土耳其）,792120
CUS_MAPPING_PORT_CODE_V,TUR123,泰基尔达（土耳其）,1530,TUR123,泰基尔达（土耳其）,792123
CUS_MAPPING_PORT_CODE_V,TUR126,蒂雷博卢（土耳其）,1531,TUR126,蒂雷博卢（土耳其）,792126
CUS_MAPPING_PORT_CODE_V,TUR129,特拉布宗（土耳其）,1533,TUR129,特拉布宗（土耳其）,792129
CUS_MAPPING_PORT_CODE_V,TUR132,图吞西夫特利克（土耳其）,137,TUR132,图吞西夫特利克（土耳其）,792132
CUS_MAPPING_PORT_CODE_V,TUR135,云耶（土耳其）,1534,TUR135,云耶（土耳其）,792135
CUS_MAPPING_PORT_CODE_V,TUR138,于斯屈达尔（土耳其）,137,TUR138,于斯屈达尔（土耳其）,792138
CUS_MAPPING_PORT_CODE_V,TUR141,亚勒姆贾（土耳其）,137,TUR141,亚勒姆贾（土耳其）,792141
CUS_MAPPING_PORT_CODE_V,TUR144,宗古尔达克（土耳其）,1537,TUR144,宗古尔达克（土耳其）,792144
CUS_MAPPING_PORT_CODE_V,TUR147,阿达比亚（土耳其）,1503,TUR147,阿达比亚（土耳其）,792147
CUS_MAPPING_PORT_CODE_V,TUR150,澳纳（土耳其）,1536,TUR150,澳纳（土耳其）,792150
CUS_MAPPING_PORT_CODE_V,TUR153,地里斯凯里斯（土耳其）,1508,TUR153,地里斯凯里斯（土耳其）,792153
CUS_MAPPING_PORT_CODE_V,TUR156,卡拉（土耳其）,1520,TUR156,卡拉（土耳其）,792156
CUS_MAPPING_PORT_CODE_V,TUR159,开塞利（土耳其）,1521,TUR159,开塞利（土耳其）,792159
CUS_MAPPING_PORT_CODE_V,TUR162,特拉帕尼（土耳其）,1532,TUR162,特拉帕尼（土耳其）,792162
CUS_MAPPING_PORT_CODE_V,TUV000,图瓦卢,619,TUV000,图瓦卢,798000
CUS_MAPPING_PORT_CODE_V,TUV001,纳努梅阿岛（图瓦卢）,3383,TUV001,纳努梅阿岛（图瓦卢）,798001
CUS_MAPPING_PORT_CODE_V,TUV002,努库费塔乌岛（图瓦卢）,3384,TUV002,努库费塔乌岛（图瓦卢）,798002
CUS_MAPPING_PORT_CODE_V,TUV003,富纳富提（图瓦卢）,619,TUV003,富纳富提（图瓦卢）,798003
CUS_MAPPING_PORT_CODE_V,TWN000,中国台湾,143,TWN000,中国台湾,158000
