hscode,statcode,classifyCnnm,hsname,ciqname
8539100000,8539100000999,聚光灯,封闭式聚光灯,封闭式聚光灯
8539211000,8539211000999,卤钨灯,科研、医疗专用卤钨灯,科研、医疗专用卤钨灯
8539212000,8539212000999,卤钨灯,火车、航空器及船舶用卤钨灯,火车、航空器及船舶用卤钨灯
8539213000,8539213000999,卤钨灯,机动车辆用卤钨灯,机动车辆用卤钨灯
8539219000,8539219000999,卤钨灯,其他用卤钨灯,其他用卤钨灯
8539221000,8539221000999,白炽灯泡,"科研、医疗用功率≤200W白炽灯泡(功率不超过200瓦,额定电压超过100伏)",科研、医疗用功率≤200W白炽灯泡(功率不超过200瓦，额定电压超过100伏)
8539229000,8539229000999,白炽灯泡,"其他用功率≤200W白炽灯泡(功率不超过200瓦,额定电压超过100伏)",其他用功率≤200W白炽灯泡(功率不超过200瓦，额定电压超过100伏)
8539291000,8539291000999,白炽灯泡,"科研,医疗专用其他白炽灯泡",科研，医疗专用其他白炽灯泡
8539292000,8539292000999,白炽灯泡,"火车,航空及船舶用其他白炽灯泡",火车，航空及船舶用其他白炽灯泡
8539293000,8539293000999,白炽灯泡,机动车辆用其他白炽灯泡,机动车辆用其他白炽灯泡
8539299100,8539299100999,白炽灯泡,12伏及以下未列名的白炽灯泡,12伏及以下未列名的白炽灯泡
8539299900,8539299900999,白炽灯泡,其他未列名的白炽灯泡,其他未列名的白炽灯泡
8539311000,8539311000999,荧光灯,科研、医疗专用热阴极荧光灯,科研、医疗专用热阴极荧光灯
8539312000,8539312000999,荧光灯,"火车,航空器,船舶用热阴极荧光灯",火车，航空器，船舶用热阴极荧光灯
8539319100,8539319100999,荧光灯,紧凑型热阴极荧光灯,紧凑型热阴极荧光灯
8539319900,8539319900999,荧光灯,其他用途用热阴极荧光灯,其他用途用热阴极荧光灯
8539323000,8539323000999,放电灯管,钠蒸汽灯,钠蒸汽灯
8539324001,8539324001999,放电灯管,彩色投影机用的照明光源(汞蒸汽灯),彩色投影机用的照明光源(汞蒸汽灯)
8539324090,8539324090999,放电灯管,其他汞蒸汽灯,其他汞蒸汽灯
8539329000,8539329000999,放电灯管,金属卤化物灯,金属卤化物灯
8539391000,8539391000999,放电灯管,"科研,医疗专用其他放电灯",科研，医疗专用其他放电灯
8539392000,8539392000999,放电灯管,"火车,航空器,船舶用其他放电灯",火车，航空器，船舶用其他放电灯
8539399010,8539399010999,null,用于平板显示器背光源的冷阴极管荧光灯,用于平板显示器背光源的冷阴极管荧光灯
8539399090,8539399090999,null,其他用途的其他放电灯管,其他用途的其他放电灯管
8539410000,8539410000999,弧光灯,弧光灯,弧光灯
