codeTs,controlMark,unitFlag,ciqWtMeasUnit,ciqWtMeasUnitName,gname,unit1,dangerFlag,unit1Name,unit2,outDutyTypeFlag,inspMonitorCond,ciqQtyMeasUnitName,ciqQtyMeasUnit,noteS,unit2Name
0106119000,AFEB,1,035,千克,其他灵长目哺乳动物,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106121100,AFEB,1,035,千克,改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；改良种用海牛及儒艮（海牛目哺乳动物）,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106121900,AFEB,1,035,千克,非改良种用鲸、海豚及鼠海豚（鲸目哺乳动物）；非改良种用海牛及儒艮（海牛目哺乳动物）,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106122100,AFEB,1,035,千克,改良种用海豹、海狮及海象（鳍足亚目哺乳动物）,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106122900,ABEF,1,035,千克,非改良种用海豹、海狮及海象（鳍足亚目哺乳动物）,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106131010,ABFE,1,035,千克,改良种用濒危骆驼及其他濒危骆驼科动物,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106131090,AB,1,035,千克,其他改良种用骆驼及其他骆驼科动物,035,N,千克,008,0,P/Q,null,null,null,只
0106139010,AFEB,1,035,千克,其他濒危骆驼及其他濒危骆驼科动物,035,N,千克,008,0,P.R/Q,null,null,包括人工驯养、繁殖的,只
0106139090,AB,1,035,千克,其他骆驼及其他骆驼科动物,035,N,千克,008,0,P.R/Q,null,null,null,只
0106141010,ABEF,1,035,千克,改良种用濒危野兔,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106141090,AB,1,035,千克,改良种用家兔及其他改良种用野兔,035,N,千克,008,0,P/Q,null,null,null,只
0106149010,AFEB,1,035,千克,其他濒危野兔,035,N,千克,008,0,P.R/Q,null,null,包括人工驯养、繁殖的,只
0106149090,AB,1,035,千克,其他家兔及野兔,035,N,千克,008,0,P.R/Q,null,null,null,只
0106191010,ABFE,1,035,千克,其他改良种用濒危哺乳动物,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106191090,AB,1,035,千克,其他改良种用哺乳动物,035,N,千克,008,0,P/Q,null,null,null,只
0106199010,AFEB,1,035,千克,其他濒危哺乳动物,035,N,千克,008,0,P.R/Q,null,null,包括人工驯养、繁殖的,只
0106199090,AB,1,035,千克,其他哺乳动物,035,N,千克,008,0,P.R/Q,null,null,null,只
0106201100,AFEB,1,035,千克,改良种用鳄鱼苗,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106201900,FEAB,1,035,千克,其他改良种用爬行动物,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106202010,AFEB,1,035,千克,食用蛇,035,N,千克,008,0,P.R/Q,null,null,包括人工驯养、繁殖的,只
0106202021,ABFE,1,035,千克,食用濒危龟鳖,035,N,千克,008,0,P.R/Q,null,null,包括人工驯养、繁殖的,只
0106202029,AB,1,035,千克,其他食用龟鳖,035,N,千克,008,0,P.R/Q,null,null,包括人工驯养、繁殖的,只
0106202091,FEAB,1,035,千克,其他食用濒危爬行动物,035,null,千克,008,0,P.R/Q,null,null,包括人工驯养、繁殖的,只
0106202099,AB,1,035,千克,其他食用爬行动物,035,null,千克,008,0,P.R/Q,null,null,包括人工驯养、繁殖的,只
0106209010,FEAB,1,035,千克,其他濒危爬行动物,035,null,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106209090,AB,1,035,千克,其他爬行动物,035,null,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106311000,AFEB,1,035,千克,改良种用猛禽,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106319000,ABFE,1,035,千克,其他猛禽,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106321000,ABFE,1,035,千克,改良种用鹦形目的鸟,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106329000,ABFE,1,035,千克,非改良种用鹦形目的鸟,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106331010,ABFE,1,035,千克,改良种用濒危鸵鸟,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
