codeTs,controlMark,unitFlag,ciqWtMeasUnit,ciqWtMeasUnitName,gname,unit1,dangerFlag,unit1Name,unit2,outDutyTypeFlag,inspMonitorCond,ciqQtyMeasUnitName,ciqQtyMeasUnit,noteS,unit2Name
0106331090,AB,1,035,千克,其他改良种用鸵鸟和改良种用鸸鹋,035,N,千克,008,0,P/Q,null,null,null,只
0106339010,ABFE,1,035,千克,其他濒危鸵鸟,035,N,千克,008,0,P.R/Q,null,null,包括人工驯养、繁殖的,只
0106339090,AB,1,035,千克,其他鸵鸟、鸸鹋,035,N,千克,008,0,P.R/Q,null,null,null,只
0106391010,ABFE,1,035,千克,其他改良种用濒危鸟,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106391090,AB,1,035,千克,其他改良种用的鸟,035,N,千克,008,0,P/Q,null,null,null,只
0106392100,AB,1,035,千克,食用乳鸽,035,N,千克,008,0,P.R/Q,null,null,null,只
0106392300,FEAB,1,035,千克,食用野鸭,035,N,千克,008,0,P.R/Q,null,null,null,只
0106392910,ABFE,1,035,千克,其他食用濒危鸟,035,N,千克,008,0,P.R/Q,null,null,包括人工驯养、繁殖的,只
0106392990,AB,1,035,千克,其他食用鸟,035,N,千克,008,0,P.R/Q,null,null,null,只
0106399010,ABFE,1,035,千克,其他濒危鸟,035,N,千克,008,0,P.R/Q,null,null,包括人工驯养、繁殖的,只
0106399090,AB,1,035,千克,其他鸟,035,N,千克,008,0,P.R/Q,null,null,null,只
0106411000,AB,1,035,千克,改良种用蜂,035,N,千克,008,0,P/Q,null,null,null,只
0106419001,ABS,1,035,千克,赤眼蜂,035,N,千克,008,0,P/Q,null,null,null,只
0106419090,AB,1,035,千克,其他蜂,035,N,千克,008,0,P/Q,null,null,null,只
0106491010,ABFE,1,035,千克,其他改良种用濒危昆虫,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106491090,AB,1,035,千克,其他改良种用非濒危昆虫,035,N,千克,008,0,P/Q,null,null,null,只
0106499001,ABS,1,035,千克,捕食螨,035,N,千克,008,0,P/Q,null,null,null,只
0106499010,ABFE,1,035,千克,其他濒危昆虫,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106499090,AB,1,035,千克,其他非濒危昆虫,035,N,千克,008,0,P/Q,null,null,null,只
0106901110,ABFE,1,035,千克,改良种用濒危蛙苗,035,N,千克,008,0,P/Q,null,null,null,只
0106901190,AB,1,035,千克,其他改良种用蛙苗,035,N,千克,008,0,P/Q,null,null,null,只
0106901910,ABFE,1,035,千克,其他改良种用濒危动物,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106901990,AB,1,035,千克,其他改良种用动物,035,N,千克,008,0,P/Q,null,null,null,只
0106909010,ABFE,1,035,千克,其他濒危动物,035,N,千克,008,0,P/Q,null,null,包括人工驯养、繁殖的,只
0106909090,AB,1,035,千克,其他动物,035,N,千克,008,0,P/Q,null,null,null,只
0201100010,4ABEFx,1,035,千克,整头及半头鲜或冷藏的野牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0201100090,4ABx,1,035,千克,其他整头及半头鲜或冷藏的牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0201200010,47ABEFx,1,035,千克,鲜或冷藏的带骨野牛肉,035,0,千克,null,0,P.R/Q,null,null,null,null
0201200090,47ABx,1,035,千克,其他鲜或冷藏的带骨牛肉,035,N,千克,null,0,P.R/Q,null,null,null,null
0201300010,47ABEFx,1,035,千克,鲜或冷藏的去骨野牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0201300090,47ABx,1,035,千克,其他鲜或冷藏的去骨牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0202100010,4ABEFx,1,035,千克,冻藏的整头及半头野牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0202100090,4ABx,1,035,千克,其他冻藏的整头及半头牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0202200010,47ABEFx,1,035,千克,冻藏的带骨野牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0202200090,47ABx,1,035,千克,其他冻藏的带骨牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0202300010,47ABEFx,1,035,千克,冻藏的去骨野牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0202300090,47ABx,1,035,千克,其他冻藏的去骨牛肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203111010,4ABEFx,1,035,千克,鲜或冷藏整头及半头野乳猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203111090,4ABx,1,035,千克,其他鲜或冷藏的整头及半头乳猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203119010,4ABEFx,1,035,千克,其他鲜或冷藏整头及半头野猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203119090,4ABx,1,035,千克,其他鲜或冷藏的整头及半头猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203120010,47ABEFx,1,035,千克,鲜或冷的带骨野猪前腿、后腿及肉块,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203120090,47ABx,1,035,千克,鲜或冷的带骨猪前腿、后腿及其肉块,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203190010,47ABEFx,1,035,千克,其他鲜或冷藏的野猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203190090,47ABx,1,035,千克,其他鲜或冷藏的猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203211010,4ABEFx,1,035,千克,冻整头及半头野乳猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203211090,4ABx,1,035,千克,冻整头及半头乳猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203219010,47ABEFx,1,035,千克,其他冻整头及半头野猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203219090,47ABx,1,035,千克,其他冻整头及半头猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203220010,47ABEFx,1,035,千克,冻带骨野猪前腿、后腿及肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203220090,47ABx,1,035,千克,冻藏的带骨猪前腿、后腿及其肉块,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203290010,47ABEFx,1,035,千克,冻藏野猪其他肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0203290090,47ABx,1,035,千克,其他冻藏猪肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0204100000,7AB,1,035,千克,鲜或冷藏的整头及半头羔羊肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0204210000,7AB,1,035,千克,鲜或冷藏的整头及半头绵羊肉,035,N,千克,null,0,P.R/Q,null,null,null,null
0204220000,7AB,1,035,千克,鲜或冷藏的带骨绵羊肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0204230000,7AB,1,035,千克,鲜或冷藏的去骨绵羊肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0204300000,7AB,1,035,千克,冻藏的整头及半头羔羊肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0204410000,7AB,1,035,千克,冻藏的整头及半头绵羊肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0204420000,7AB,1,035,千克,冻藏的其他带骨绵羊肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0204430000,7AB,1,035,千克,冻藏的其他去骨绵羊肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0204500000,7AB,1,035,千克,鲜或冷藏、冻藏的山羊肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0205000010,ABFE,1,035,千克,鲜、冷或冻的濒危野马、野驴肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0205000090,AB,1,035,千克,鲜、冷或冻的马、驴、骡肉,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0206100000,4ABx,1,035,千克,鲜或冷藏的牛杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0206210000,47ABx,1,035,千克,冻牛舌,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0206220000,47ABx,1,035,千克,冻牛肝,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0206290000,47ABx,1,035,千克,其他冻牛杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0206300000,4ABx,1,035,千克,鲜或冷藏的猪杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0206410000,47ABx,1,035,千克,冻猪肝,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0206490000,47ABx,1,035,千克,其他冻猪杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0206800010,AB,1,035,千克,鲜或冷的羊杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0206800090,AB,1,035,千克,鲜或冷的马、驴、骡杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0206900010,7AB,1,035,千克,冻藏的羊杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0206900090,AB,1,035,千克,冻藏的马、驴、骡杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207110000,4xAB,1,035,千克,鲜或冷藏的整只鸡,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207120000,4x7AB,1,035,千克,冻的整只鸡,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207131100,4xAB,1,035,千克,鲜或冷的带骨的鸡块,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207131900,4xAB,1,035,千克,其他鲜或冷的鸡块,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207132100,4xAB,1,035,千克,鲜或冷的鸡翼,035,N,千克,null,0,P.R/Q.S,null,null,不包括翼尖,null
0207132900,AB4x,1,035,千克,其他鲜或冷的鸡杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207141100,7AB4x,1,035,千克,冻的带骨鸡块,035,N,千克,null,0,P.R/Q.S,null,null,包括鸡胸脯、鸡大腿等,null
0207141900,7AB4x,1,035,千克,冻的不带骨鸡块,035,N,千克,null,0,P.R/Q.S,null,null,包括鸡胸脯、鸡大腿等,null
0207142100,7AB4x,1,035,千克,冻的鸡翼,035,N,千克,null,0,P.R/Q.S,null,null,不包括翼尖,null
0207142200,7AB4x,1,035,千克,冻的鸡爪,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207142900,7AB4x,1,035,千克,冻的其他食用鸡杂碎,035,N,千克,null,0,P.R/Q.S,null,null,包括鸡翼尖、鸡肝等,null
0207240000,AB,1,035,千克,鲜或冷的整只火鸡,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207250000,AB,1,035,千克,冻的整只火鸡,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207260000,AB,1,035,千克,鲜或冷的火鸡块及杂碎,035,N,千克,null,0,P.R/Q.S,null,null,肥肝除外,null
0207270000,AB,1,035,千克,冻的火鸡块及杂碎,035,N,千克,null,0,P.R/Q.S,null,null,肥肝除外,null
0207410000,AB,1,035,千克,鲜或冷的整只鸭,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207420000,AB,1,035,千克,冻的整只鸭,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207430000,AB,1,035,千克,鲜或冷的鸭肥肝,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207440000,AB,1,035,千克,鲜或冷的鸭块及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,肥肝除外,null
0207450000,AB,1,035,千克,冻的鸭块及食用杂碎,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207510000,AB,1,035,千克,鲜或冷的整只鹅,035,N,千克,null,0,P.R/Q.S,null,null,null,null
0207520000,AB,1,035,千克,冻的整只鹅,035,N,千克,null,0,P.R/Q.S,null,null,null,null
